Weight Range of Noise within 1Ïƒ,Iso-Size,G1 Edge Sums, G2 Edge Sums, Abs Diff
0.0,20 nodes,12921.174527325096,13245.403962941718,515.7393844852292
0.75,20 nodes,13279.963115696944,13343.842614486994,364.02041563124914
1.5,20 nodes,11921.023256765358,12049.672622803235,200.17684344095215
2.25,20 nodes,9985.289395129712,10093.611275475889,487.4674066018223
3.0,20 nodes,6319.621276321996,6285.585541881398,438.84637077308105
3.75,20 nodes,4849.621833931016,4975.6237688605215,547.7265568222251
4.5,20 nodes,7595.543005168487,7372.177686033783,490.26518480091664
5.25,20 nodes,10250.17718883771,10226.462882261836,601.2661600207251
6.0,20 nodes,8402.377658915302,8319.700580508417,695.76983330277
0.0,24 nodes,17579.724428506906,17156.070370673704,473.44023402228015
0.75,24 nodes,17742.222686133253,17789.70771423147,404.5370841736925
1.5,24 nodes,16973.62780721031,17327.448795299082,800.0082479226297
2.25,24 nodes,16160.452572626255,16541.300295335255,565.1484706136049
3.0,24 nodes,11916.38572503989,12292.82716854401,504.92217222439893
3.75,24 nodes,7901.804868909449,7744.616238823548,597.8830836734269
4.5,24 nodes,10649.394950697832,10676.516673538827,535.3445343463076
5.25,24 nodes,8112.59642257039,8018.613993393445,667.9539893353356
6.0,24 nodes,10497.920566311726,10519.374613668471,723.0874505305653
0.0,28 nodes,22793.44673641938,22740.86148513623,366.2480037516154
0.75,28 nodes,23050.185447285246,22999.834694260397,631.3820911350391
1.5,28 nodes,22914.863016136034,22756.87353372278,455.29176471510544
2.25,28 nodes,21124.17500759125,21326.927327621335,497.16746587353157
3.0,28 nodes,16190.089385327346,16388.99378191589,468.73020191320245
3.75,28 nodes,14076.587272218196,14176.20330610735,277.0404290283139
4.5,28 nodes,9885.309556822316,10082.275100357678,426.4486749103271
5.25,28 nodes,9752.218120332736,9682.164800694318,401.52930453662685
6.0,28 nodes,11641.155701161895,11102.311651958384,815.0317878432486
0.0,32 nodes,29118.764731043182,28931.72105198547,339.2295400618994
0.75,32 nodes,29219.33539320506,29253.79485632524,413.6542099331822
1.5,32 nodes,28183.99743087017,28308.942213548962,342.80493425956195
2.25,32 nodes,27446.554969399607,27440.05639637179,618.4277843256332
3.0,32 nodes,21522.1458545637,21445.011617334872,681.4140053950844
3.75,32 nodes,14543.404696379821,14354.874111801857,408.89431729430214
4.5,32 nodes,13186.041193291976,13004.920688866541,364.1205700695731
5.25,32 nodes,14863.001102956487,14418.192430281755,846.3362811203524
6.0,32 nodes,13145.313151591012,13681.742376211005,669.4771599277267
