Weight Range of Noise within 1Ïƒ,Iso-Size,F1 value
0.0,20 nodes,0.9657001130685341
0.75,20 nodes,0.9812196812196812
1.5,20 nodes,0.9095631578603716
2.25,20 nodes,0.8167340965253679
3.0,20 nodes,0.6363435121916768
3.75,20 nodes,0.49696872038819895
4.5,20 nodes,0.5377963131170534
5.25,20 nodes,0.5971982254172448
6.0,20 nodes,0.5418942948085
0.0,24 nodes,0.9779581195862417
0.75,24 nodes,0.9849213691026827
1.5,24 nodes,0.9559291340789953
2.25,24 nodes,0.9227778158062347
3.0,24 nodes,0.7590718508130252
3.75,24 nodes,0.5642441340375578
4.5,24 nodes,0.5772754364554046
5.25,24 nodes,0.5175797202733649
6.0,24 nodes,0.5419947992958405
0.0,28 nodes,0.990909090909091
0.75,28 nodes,0.9927272727272727
1.5,28 nodes,0.9889562289562289
2.25,28 nodes,0.9376957262329072
3.0,28 nodes,0.7675037447603155
3.75,28 nodes,0.7264712856126292
4.5,28 nodes,0.5695933804202667
5.25,28 nodes,0.4787459744406339
6.0,28 nodes,0.5578049414937536
0.0,32 nodes,0.9887327608639084
0.75,32 nodes,0.9936507936507937
1.5,32 nodes,0.9904249871991807
2.25,32 nodes,0.9561772947476552
3.0,32 nodes,0.8226599759842425
3.75,32 nodes,0.6174985309465216
4.5,32 nodes,0.5817073424794317
5.25,32 nodes,0.5640326280467833
6.0,32 nodes,0.5436303011435436
