Weight Range of Noise within 1Ïƒ,Iso-Size,Precision value
0.0,20 nodes,1.0
0.75,20 nodes,0.8333333333333334
1.5,20 nodes,0.7
2.25,20 nodes,0.7333333333333333
3.0,20 nodes,0.8666666666666667
3.75,20 nodes,0.8
4.5,20 nodes,0.7875
5.25,20 nodes,0.8883333333333333
6.0,20 nodes,0.8666666666666667
0.0,24 nodes,1.0
0.75,24 nodes,0.94
1.5,24 nodes,0.79
2.25,24 nodes,0.94
3.0,24 nodes,0.85
3.75,24 nodes,0.90375
4.5,24 nodes,0.9346428571428571
5.25,24 nodes,0.9291666666666667
6.0,24 nodes,0.9503104575163399
0.0,28 nodes,1.0
0.75,28 nodes,1.0
1.5,28 nodes,0.9466666666666667
2.25,28 nodes,0.9733333333333334
3.0,28 nodes,0.9733333333333334
3.75,28 nodes,0.9451041666666666
4.5,28 nodes,0.9989130434782608
5.25,28 nodes,0.9664499656577998
6.0,28 nodes,0.9695885364635365
0.0,32 nodes,1.0
0.75,32 nodes,1.0
1.5,32 nodes,1.0
2.25,32 nodes,0.9533333333333334
3.0,32 nodes,1.0
3.75,32 nodes,0.9928887559808612
4.5,32 nodes,0.9969444444444444
5.25,32 nodes,0.9956136363636363
6.0,32 nodes,0.9912437343358396
