Weight Range of Noise within 1Ïƒ,Iso-Size,Approx Iso-Size,F1 value
0.0,20 nodes,19.0,0.974(0.0)
0.75,20 nodes,19.0,0.974(0.0)
1.5,20 nodes,30.5,0.7364999999999999(0.2976919548795364)
2.25,20 nodes,46.0,0.5349999999999999(0.041012193308819715)
3.0,20 nodes,59.0,0.4185(0.07707463914933367)
3.75,20 nodes,50.5,0.507(0.1088944443027283)
4.5,20 nodes,51.5,0.4595(0.10818733752154179)
5.25,20 nodes,61.0,0.4215(0.03889087296526011)
6.0,20 nodes,48.0,0.519(0.02262741699796954)
0.0,24 nodes,22.0,0.956(0.03252691193458114)
0.75,24 nodes,23.0,0.979(0.0)
1.5,24 nodes,22.5,0.968(0.01555634918610406)
2.25,24 nodes,47.0,0.6335(0.041719300090006343)
3.0,24 nodes,39.0,0.71(0.11737972567696692)
3.75,24 nodes,43.5,0.651(0.049497474683058366)
4.5,24 nodes,47.0,0.6165(0.0586898628384835)
5.25,24 nodes,44.5,0.6515(0.04454772721475254)
6.0,24 nodes,51.5,0.5489999999999999(0.029698484809834943)
0.0,28 nodes,27.0,0.982(0.0)
0.75,28 nodes,26.5,0.9724999999999999(0.013435028842544414)
1.5,28 nodes,47.0,0.72(0.04525483399593908)
2.25,28 nodes,39.0,0.7965(0.033234018715767685)
3.0,28 nodes,45.5,0.737(0.007071067811865481)
3.75,28 nodes,48.5,0.6719999999999999(0.02828427124746185)
4.5,28 nodes,42.0,0.7725(0.014849242404917511)
5.25,28 nodes,49.0,0.6825(0.0275771644662753)
6.0,28 nodes,45.0,0.7355(0.04454772721475254)
0.0,32 nodes,44.0,0.8335(0.06151828996322961)
0.75,32 nodes,43.5,0.845(0.019798989873223347)
1.5,32 nodes,43.5,0.8280000000000001(0.04384062043356591)
2.25,32 nodes,42.5,0.8405(0.03464823227814086)
3.0,32 nodes,44.0,0.819(0.025455844122715655)
3.75,32 nodes,41.5,0.8594999999999999(0.01626345596729061)
4.5,32 nodes,48.5,0.7785(0.009192388155425127)
5.25,32 nodes,42.5,0.842(0.01555634918610406)
6.0,32 nodes,45.5,0.813(0.011313708498984693)
